,monetary_total,monetary_total,monetary_total,monetary_total,monetary_total,monetary_mean,monetary_mean,monetary_mean,monetary_mean,monetary_mean,frequency,frequency,frequency,frequency,frequency,recency_days,recency_days,recency_days,recency_days,recency_days,orders_per_year,orders_per_year,orders_per_year,orders_per_year,orders_per_year,company_age_years,company_age_years,company_age_years,company_age_years,company_age_years,tenure_days,tenure_days,tenure_days,tenure_days,tenure_days,avg_days_between_orders,avg_days_between_orders,avg_days_between_orders,avg_days_between_orders,avg_days_between_orders,product_type_diversity,product_type_diversity,product_type_diversity,product_type_diversity,product_type_diversity,unique_operations_used,unique_operations_used,unique_operations_used,unique_operations_used,unique_operations_used,avg_num_operations,avg_num_operations,avg_num_operations,avg_num_operations,avg_num_operations,avg_margin,avg_margin,avg_margin,avg_margin,avg_margin,officer_count,officer_count,officer_count,officer_count,officer_count,filing_count,filing_count,filing_count,filing_count,filing_count
,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max
cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,51531.07648508935,14712.003784246033,128703.7988693718,410.92390476190474,1381188.8350349078,3780.622331650419,2030.424373768295,5185.833988399021,160.0865414219577,46520.12222222223,16.39090909090909,5.0,36.07121345201081,1,433,899.8363636363637,713.0,715.3100230451153,0.0,2613.0,24.87465189973873,4.0,96.37925028689156,0.3455534531693472,1461.0,21.696363636363635,16.6,20.259935131660697,0.0,132.3,842.8848484848485,549.5,944.5502196277936,0,7768,169.9851642130338,59.279761904761905,281.52237014578003,0.0,2114.0,1.709090909090909,1.0,1.153918561433892,0,7,9.13030303030303,9.0,4.39722106555753,4,32,6.662923679755737,6.571428571428571,1.2282782210774081,4.0,14.0,19.210105893118545,20.0,5.985489031910638,5.0,42.0,5.760606060606061,4.0,6.636934482697769,0.0,51.0,58.25454545454546,39.5,55.37302675254487,0.0,324.0
1,2512.0445537759474,1085.9970333333335,4739.153921221872,46.41995333333334,59411.142857142855,2039.0595875168608,903.5407514583333,4297.664843126097,46.41995333333334,59411.142857142855,1.3518518518518519,1.0,0.9446903527309652,1,13,1400.488683127572,1432.5,752.4228935222574,108.0,2646.0,11.496589788877454,1.0,85.72872495946261,0.5546697038724374,1461.0,17.14670781893004,13.2,16.239099419731954,0.0,105.5,33.11316872427984,0.0,152.54537790792784,0,1317,55.95980795610426,43.25,110.90515874808978,0.0,1317.0,0.6378600823045267,1.0,0.5142572954754107,0,2,6.267489711934156,6.0,1.7021674099942443,1,26,6.158073682147756,6.0,1.451941014033622,1.0,13.0,20.945254299883928,20.0,9.422078866574688,1.0,94.0,5.4753086419753085,3.0,8.457925424231599,0.0,119.0,49.47119341563786,33.0,50.955349297968475,0.0,340.0
2,966.964402918193,240.9682,2081.5748203121566,10.0,7758.455466666667,405.11863728937726,186.9230476190476,454.5410871017417,10.0,1412.0713904761906,1.6153846153846154,1.0,1.3867504905630728,1,6,2440.6153846153848,2592.0,518.196156305946,718.0,2619.0,11.043142712550605,1.0,31.57932945442453,1.0,115.34210526315788,14.315384615384614,17.3,7.0568933384134125,1.2,27.4,5.153846153846154,0.0,13.903513667691787,0,48,33.926923076923075,43.25,18.686075646773002,0.0,48.0,0.5384615384615384,1.0,0.5188745216627708,0,1,21.307692307692307,21.0,2.250356097177193,18,26,21.064102564102562,21.0,1.9537931549444256,18.5,26.0,26.153846153846153,20.0,13.867504905630728,10.0,50.0,3.230769230769231,3.0,2.454718115312026,1.0,9.0,39.84615384615385,38.0,23.947324672588355,3.0,88.0
3,4428.3252187527605,1563.6417415715046,8244.093329774727,45.0,37632.25156818182,2982.738761159426,901.8698147664835,5025.853701153037,45.0,18816.12578409091,1.4166666666666667,1.0,0.7755316082290384,1,4,2628.0,2619.5,42.09203167387839,2565.0,2691.0,32.47357362689394,1.0,148.710366901339,1.0,730.5,9.108333333333333,6.5,7.262824738929462,0.4,26.2,6.416666666666667,0.0,21.725394210996228,0,88,35.16319444444444,43.25,18.83244321300812,0.0,64.0,0.8333333333333334,1.0,0.3806934938134405,0,1,26.083333333333332,27.0,3.7868957881284415,16,31,26.82638888888889,28.0,4.858748563225322,14.0,33.0,18.979166666666668,20.0,5.349683384915465,5.0,30.0,3.5833333333333335,2.0,5.57881603978811,1.0,28.0,28.916666666666668,26.5,28.018498030480824,1.0,110.0
4,5393.208790992178,2032.0847096354164,7133.116063365451,161.84068333333332,25166.84058571429,2010.3015853232444,1265.8445421184097,2092.7409554774767,161.84068333333332,7129.208333333333,2.5714285714285716,1.5,2.5027457449242148,1,10,1568.357142857143,1655.0,873.8688166945933,281.0,2668.0,17.049140478445043,1.0,30.438978417092027,0.8780048076923077,79.40217391304348,14.0,14.0,0.0,14.0,14.0,116.21428571428571,0.0,335.7121428503039,0,1248,73.36507936507937,43.25,160.09847577071207,0.0,624.0,0.7142857142857143,1.0,0.4688072309384954,0,1,10.357142857142858,6.0,10.81030237147127,4,41,9.657142857142857,6.0,9.389823811381726,4.0,32.2,23.654761904761905,21.25,9.728463895600875,10.0,50.0,3.0,3.0,0.0,3.0,3.0,36.0,36.0,0.0,36.0,36.0
