company,recency_days,first_order_days_ago,tenure_days,frequency,monetary_total,monetary_mean,monetary_median,monetary_std,monetary_max,monetary_min,avg_days_between_orders,min_days_between_orders,max_days_between_orders,orders_per_year,avg_quantity,median_quantity,max_quantity,min_quantity,std_quantity,avg_margin,median_margin,ptype_binder_pct,ptype_box_pct,ptype_slip_case_pct,ptype_folder_pct,ptype_presentation_pack_pct,ptype_menu_cover_pct,ptype_ring_binder_pct,ptype_lever_arch_pct,ptype_portfolio_pct,product_type_diversity,has_product_type_pct,avg_num_operations,max_num_operations,op_cutting_pct,op_creasing_pct,op_assembly_pct,op_wrapping_pct,op_liner_gluing_pct,op_laminating_pct,op_foil_blocking_pct,op_screen_printing_pct,op_drilling_pct,op_embossing_pct,op_debossing_pct,op_uv_varnishing_pct,op_die_cutting_pct,op_hand_finishing_pct,op_packing_pct,op_collating_pct,unique_operations_used,avg_cost_items,peak_month,months_active,revenue_trend_slope,revenue_trend_pct,recent_12m_revenue,historical_revenue,recent_share_pct,era_2017_box_pct,era_2020_pob_master_pct,era_2024_quotation_pct,ch_company_name,company_number,company_type,company_status,industry_sector,company_age_years,region,officer_count,active_officer_count,director_count,secretary_count,filing_count,recent_filing_days,annual_accounts_count,has_charges,charge_count,psc_count,has_website,website_domain,has_https,http_status,domain_variant,orders_per_company_year,value_quintile,frequency_tier,is_active_12m,is_active_6m,is_churned,ch_matched,recency_days_missing,first_order_days_ago_missing,avg_quantity_missing,avg_margin_missing,revenue_trend_slope_missing,revenue_trend_pct_missing,company_age_years_missing,officer_count_missing,active_officer_count_missing,filing_count_missing,recent_filing_days_missing,annual_accounts_count_missing,charge_count_missing,psc_count_missing,median_quantity_missing,max_quantity_missing,min_quantity_missing,std_quantity_missing,median_margin_missing,peak_month_missing,director_count_missing,secretary_count_missing,http_status_missing
REFELX,1523.0,1830.0,307,5,2613.798,522.7596,583.25,262.3081836519783,844.25,152.3,76.75,0.0,257.0,5.948697068403909,128.2,150.0,200.0,16.0,80.93948356642758,23.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6.0,6,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,14.0,3.0,3,0.0,0.0,0.0,2613.798,0.0,0.0,100.0,0.0,,,,,Unknown,13.7,Unknown,3.0,2.0,1.0,0.0,34.5,128.0,10.0,0,0.0,1.0,False,Unknown,False,301.0,Unknown,5.0,3,regular,False,False,True,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1
REFLEX,443.0,1474.0,1031,3,2421.0181,807.0060333333334,600.0301,484.37988993186264,1360.488,460.5,515.5,378.0,653.0,1.0628031037827352,146.66666666666666,100.0,250.0,90.0,89.628864398325,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6.0,6,100.0,100.0,100.0,0.0,0.0,33.33333333333333,66.66666666666666,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,17.0,1.0,2,449.9940000003118,55.76092140744158,0.0,2421.0181,0.0,0.0,100.0,0.0,REFLEX LIMITED,03131814,ltd,active,Wholesale & Retail,30.2,London,27.0,3.0,3.0,0.0,156.0,4.0,22.0,True,10.0,2.0,True,reflex.co.uk,True,301.0,co.uk,0.0993377483443708,3,occasional,False,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REFLEX GRAPHICS,1823.0,1823.0,0,2,1454.6121888888888,727.3060944444444,727.3060944444444,151.85862159449758,834.6863555555556,619.9258333333333,0.0,0.0,0.0,2.0,75.0,75.0,100.0,50.0,35.35533905932738,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6.0,6,100.0,100.0,100.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,23.0,1.0,1,0.0,0.0,0.0,1454.6121888888888,0.0,0.0,100.0,0.0,REFLEX GRAPHICS LIMITED,01866979,ltd,active,Arts & Entertainment,41.2,Merseyside,3.0,3.0,2.0,1.0,88.0,116.0,40.0,True,1.0,1.0,True,reflexgraphics.co.uk,True,200.0,co.uk,0.0485436893203883,3,occasional,False,False,True,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
REGIN,2597.0,2597.0,0,1,825.5611982222222,825.5611982222222,825.5611982222222,0.0,825.5611982222222,825.5611982222222,0.0,0.0,0.0,1.0,700.0,700.0,700.0,700.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5.0,5,100.0,0.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,22.0,12.0,1,0.0,0.0,0.0,825.5611982222222,0.0,0.0,100.0,0.0,REGIN LIMITED,11045999,ltd,dissolved,Professional Services,8.2,London,1.0,1.0,1.0,0.0,13.0,1875.0,1.0,False,0.0,1.0,True,regin.co.uk,True,200.0,co.uk,0.1219512195121951,2,one_time,False,False,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RESOLUTION,2550.0,2550.0,0,1,323.69446,323.69446,323.69446,0.0,323.69446,323.69446,0.0,0.0,0.0,1.0,250.0,250.0,250.0,250.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5.0,5,100.0,0.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,14.0,1.0,1,0.0,0.0,0.0,323.69446,0.0,0.0,100.0,0.0,RESOLUTION LIMITED,06722436,ltd,active,Professional Services,17.3,London,10.0,1.0,1.0,0.0,58.0,140.0,17.0,False,0.0,1.0,True,resolution.co.uk,False,301.0,co.uk,0.0578034682080924,1,one_time,False,False,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RESOLUTION DESIGN,2550.0,2569.0,19,6,7758.455466666667,1293.0759111111113,1006.18265,1074.6845651347285,2704.6687500000003,280.6034166666667,3.8,0.0,19.0,115.34210526315788,477.1217532467532,309.0,600.0,150.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,50.0,22.833333333333332,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,22.833333333333332,1.0,1,0.0,0.0,0.0,7758.455466666667,0.0,100.0,0.0,0.0,RESOLUTION DESIGN LTD,06510726,ltd,active,Information & Communication,18.0,Wiltshire,6.0,3.0,2.0,1.0,56.0,77.0,18.0,False,0.0,2.0,True,resolutiondesign.co.uk,True,200.0,co.uk,0.3333333333333333,4,regular,False,False,True,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
RESOURCE,359.0,359.0,0,1,8709.687844444445,8709.687844444445,8709.687844444445,0.0,8709.687844444445,8709.687844444445,0.0,0.0,0.0,1.0,681.0,681.0,681.0,681.0,0.0,15.0,15.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,7.0,7,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,38.0,1.0,1,0.0,0.0,8709.687844444445,0.0,100.0,0.0,100.0,0.0,RESOURCE LIMITED,02458944,ltd,active,Administrative Services,36.1,Cardiff,8.0,6.0,5.0,1.0,101.0,13.0,36.0,True,1.0,4.0,True,resource.co.uk,False,200.0,co.uk,0.0277008310249307,4,one_time,True,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RHL PRINT,2457.0,2457.0,0,2,6878.103333333333,3439.0516666666663,3439.0516666666663,417.1152191541328,3733.9966666666664,3144.106666666666,0.0,0.0,0.0,2.0,500.0,500.0,500.0,500.0,0.0,20.0,20.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,9.0,9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,33.5,5.0,1,0.0,0.0,0.0,6878.103333333333,0.0,0.0,100.0,0.0,DA BARA (RHL) LIMITED,10648143,ltd,active,Accommodation & Food,8.9,Cornwall,2.0,2.0,2.0,0.0,20.0,102.0,9.0,True,1.0,1.0,False,Unknown,False,301.0,Unknown,0.2247191011235955,4,occasional,False,False,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
RICHARD - HUNTS,2642.0,2642.0,0,1,411.0744833333333,411.0744833333333,411.0744833333333,0.0,411.0744833333333,411.0744833333333,0.0,0.0,0.0,1.0,100.0,100.0,100.0,100.0,0.0,25.0,25.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,27.0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,25.0,10.0,1,0.0,0.0,0.0,411.0744833333333,0.0,100.0,0.0,0.0,AK HUNTSMAN BARBER LTD,15950867,ltd,active,Other Services,1.4,Leicester,1.0,1.0,1.0,0.0,2.0,62.0,0.0,False,0.0,1.0,False,Unknown,False,301.0,Unknown,0.7142857142857143,1,one_time,False,False,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
RICHARD COLOURPOINT,2662.0,2662.0,0,1,1051.7851666666666,1051.7851666666666,1051.7851666666666,0.0,1051.7851666666666,1051.7851666666666,0.0,0.0,0.0,1.0,500.0,500.0,500.0,500.0,0.0,10.0,10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,26.0,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,24.0,10.0,1,0.0,0.0,0.0,1051.7851666666666,0.0,100.0,0.0,0.0,COLOURPOINT CREATIVE LIMITED,NI610849,ltd,active,Information & Communication,14.0,County Down,2.0,2.0,2.0,0.0,32.0,188.0,14.0,True,2.0,2.0,False,Unknown,False,301.0,Unknown,0.0714285714285714,2,one_time,False,False,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
