company,final_cluster
FINECUT,3
FINECUT FINISHING,0
FINEPRINT,4
FINEPRINT BASINGSTOKE,0
FISERV,0
FLEEET,0
FLEET,0
FLEET - BABYF,0
FLEET LUXURY,0
FLEET LUXURY DRAWER,0
FLEET LUXURY PACKAGING,4
FLYLEAF,6
FMB,0
FOAM ENGINEERS,4
FOLDERS LTD,4
FOREST,0
FOREST PROMOTIONS,0
FOREVER YOUNG HEALTH,0
FORGE SP,0
FORGE SPECIASL PROJECTS,0
FORMARA,0
FORWARD PRINTS,0
FOX GROUP,2
FRANK WISE SCHOOL,0
FRANKLIN COVEY,0
FREIDHEIM,0
FULLER & CO,0
FULLPOINT,2
FUSION,0
G RYDER,0
GARY,0
GARY WILLIAMS,0
GARY WILLIAMS SCREEN 3 COLS ON,0
GAS SAFE,4
GAS SAFETY,0
GAS SAFETY SHOP,4
GAVIN MARTIN,0
GD ASSOCIATES,7
GEEOFF NEAL,0
GEMINI,0
GEMINI PRINT,0
GEMINI PRINT SOLUTIONS,0
GENEOLOGY SUPPLIES,2
GENESIS,0
GENTLEMANS TONIC,0
GEOFF GRAY,0
GEOFF NEAL,2
GEOFF NEAL LITHO,0
GEOFF NEAL PRINTWORKS,2
GFM,2
GILES COLOURPOINT,0
GILES MILLER,0
GINGER ROOT,0
GLENN CONSTRUCTIVE MEDIA,0
GOUGH,0
GOUSTO,4
GPA GLOBAL,0
GRAPEFRUIT,0
GRAPHIC ARTS,0
GRAPHICO,0
GRAPHICS ARTS,0
GRAYS,4
GRAYS LONDON,0
GREEN ST BINDERY,6
GREEN STREET,0
GREEN STREET BINDERY,0
GREENS,4
GREENS DIGITAL,0
GREENSHIRES,0
GRG PRINT MANAGEMENT,0
GUESTKEY,4
GUIDE DOGS,0
GUITING QUARRY,0
GUITTING QUARRY,0
HAGE GROUP,0
HAGUE,0
HAGUE PRINT,4
HARDINGS,4
HARLOW PRINTING,2
HARRISONS,0
HARTGRAPH,4
HAYMAN,0
HELLOFRESH,0
HENRY,0
HENRY LING,0
HENRY WAHOOTI,0
HERON,7
HERON PRESS,3
HERONSWOOD PRESS,0
HERTS OPEN STUDIOS,0
HFG PRINT,0
HIT PRODUCTS,0
HKA,0
HOBS REPRO,2
HOLYWELL,6
HOLYWELL PRESS,6
HORWOOD CHERRIES,0
HOXTON ANALYTICS,2
HUNTS,0
HUNTS BCQ,6
ICE,0
IDC BAND,0
IE-NDT,7
IGSD CLOTHING,0
IMAGE EVOLUTION,4
IMAGO GROUP,0
IMPACT,0
IMPACT IRELAND,0
IMPACT MEDIA,6
IMPRESS,0
INCUS,0
INDUCED ENERGY,6
INITIAL INCENTIVES,0
INKON,4
INTERLEVIN,0
IPSOS RETAIL,0
IPW1,0
J-GRAPHIC,1
JACKSON CALVERT,0
JAMES ANWYL,0
JAMES HAMILTON GROUP,0
JAMJAR,0
JASK,0
JASK CREATIVE,2
JAY @ TAWS,0
JBPM,0
JBPM ONLINE,4
JE GROUP,0
JENX,7
JH GRAPHICS,0
JIGSAW,0
JIM DARK CREATIONS,0
JLR,4
JOHN E WRIGHT,0
JOHN GOOD,0
JOHN PRICE,6
JOMA JEWELLERY,0
JOURNEYS END,0
JPL,6
JPL PRINT,0
JPL PRINTERS,0
JRG PRINT,0
JUDD MEDICAL,0
JUDES,0
JUST DIGITAL,5
JUSTIN SCOTT,0
K T LITHO,0
KALL KWIK,0
KALLKWIK BURY ST EDMUNDS,0
KANNEGIESSER,0
KAY PICTURES,4
KEITH DAVIES 28 MAGNETIC,0
KEITH MARLEY,0
KENNET SCHOOL,4
KERRY PRINT STRATEGY,0
KILBY,0
KIND AGENCY,0
KINGSBURY PRESS,0
KMS,4
KMS LITHO,0
KN OFFICE,0
KNIGHT PRINT MANAGEMENT,0
KNIGHTPRINT,0
KNIIGT PRINT,0
KP GROUP,6
KSP,0
KUHLER,0
LA DIGITAL,0
LAGONDA,0
LALEHAM,0
LALEHAM PRODUCTS,0
LANDMARK,6
LANGLAND,4
LARSEN,4
LAVENDER CONSULTING,0
LAWRENCE FURNISHINGS,0
LEACH COLOUR,0
LEMON PRESS,4
LETTERWORKS,6
LGD,0
LGPP PRINT,0
LIMELIGHT,0
LINCOLNSHIRE POLICE,0
LION,4
LION FPG,0
LION PRESENTATION,0
LITTLETON IT,0
LIVING OPTICS,0
LONSDALE DIRECT,5
LOVE ALUMINIUM,0
LOVELL,4
LS PRINT,0
LUKE HUGHES,4
LUNIO DESIGN,0
LYNCRAFT MARKETING,0
M BUTTERWORTH,0
MADDOX DIXON MAGICIAN,0
MADDOX DIXON THERMOCHROMIC,0
MAINSTREAM,4
MAINSTREAM PRINT,0
MALCOLM KILMINSTER,0
MAM PRODUCTS,0
MAM PRODUSCTS,0
MANOR,0
MANOR PRINTING,0
MARK MEDIA ACE,0
MARSHGUARD,4
MATT,0
MATT J,0
MATT PHILLIPS PLAYING,0
MATTHEWS PRINTERS,0
MAXIPOS,4
MAXMARA,0
MAXPACK,0
MAXWELL SUMMERFIELD,0
MAYFIELD,4
MAYFIELD PRESS,4
MAYFILED PRESS,0
MAYLR,0
MB CREATIVE,1
MC CREATIVE,0
MCCORMICK,0
MCKINNEY & CO,0
MEDIA ACE,0
MELANIE GEORGACOPOULOS,0
MERIDIAN,0
MERIDIAN SP,0
MERIT,0
MERIT DISPLAY,0
MERIT DISPLAYS,0
MERRY,4
MERRY PRINTERS,4
MICHAEL BURBAGE,6
MICHAEL PRITCHARD POLYPROP,0
MICROMETRIC,0
MINERVA,0
MINERVA LOOSELEAF,0
MINUTEMAN PRESS,6
MITRA BIO,0
MIXAM,0
MJ COYLER PHILLIPS,0
MK3,0
MK3 DESIGN,0
MKP,0
MODE,0
MODE LIGHTING,0
MONGO,0
MONGO PRINT,0
MORE,0
MP PRINTERS,0
MPC,4
MPD,0
MPD PRINT,0
MULTIFLOW,0
MURRAYS,0
MY DEK,0
NATCOFOODS,0
NERYS JLR,0
NETTL,0
NEW MOON,0
NEW NORDIC,0
NEWNORTH,4
NEWNORTHJ,0
NEWTON PRINT,0
NICK - ALTAVIA,3
NICK DALLISON,0
NORDIC,0
NOTED IN STYLE,2
NUBOX,0
NUNEATON SIGNS,2
O&P,3
OCEAN PRINT,0
OCM,0
ODESSA PRINT,0
ODILLO,0
OF COLOUR AND CODE,0
OFFICE DEPOT,0
OFMG,0
OLIVE PG,6
OLIVE PRINBT,0
OLIVE PRINT,2
ON BOARD DEFENCE,0
ONTO PACK,0
OPUS,0
OPUS MARKETING,0
OS PRINT,0
OS PRINT FINISHERS,0
OS PRINT FINISHING,1
OT GROUP,0
OXFORD,0
OXFORD MINDFULLNESS,0
OXFORD OPEN LEARNING,0
OXFORD PLASTICS,0
OXFORD PRODUCTS,0
OXFRORD OPEN LEARNING,0
PACKAGING ONE,6
PACKAGING SUPPLIES,0
PALINA,0
PANASONIC,4
PAPER ENGINE,0
PAPER OVER BOARD,0
PARAGON,0
PARAMOUNT,6
PARCHMENT UK,0
PARK GROVE PRESS,0
PAUL BRENNAN,0
PAUL CHEESEMAN,0
PBS,3
PCG MEDIA,0
PDS,4
PELICAN,0
PENTAXIA,0
PERCUSSIONS,0
PHASE PRINT,0
PHILIPS,4
PHILIPS DIRECT,0
PHILLIPS,4
PHILLIPS DIE,0
PHILLIPS DIRECT,4
PHORMULA,6
PILLBOX,0
PILLBOX DESIGN,0
PINKS & ROSES,0
PINKS AND ROSES,0
PIXEL,1
PLACES AND SPACES,0
PMG,0
PMT DIGITAL,0
POSITIVE PRINT,4
POT LONDON,0
POTTERS UK,4
PP LEICESTER,4
PP STRATFORD,0
PP STRATFORD UPON AVON,0
PP WIMPOLE ST,0
PPS PRINT,0
PRASHANT PATEL,0
PRECISIONPROCO,2
PRESENTATION DIRECT,0
PRICES CANDLES,0
PRINT,0
PRINT & PACKAGING,3
PRINT & PACKAGING SERVICES LTD,0
PRINT CREATIVE,0
PRINT DATA,0
PRINT DATA SOLUTIONS,3
PRINT EVOLVED,0
PRINT FINDER,0
PRINT GENIUS,2
PRINT GUY,4
PRINT IT LONDON,0
PRINT READY,0
PRINT SOLUTIONS,0
PRINT SOURCE,0
PRINT STRATEGY,0
PRINT-PRESS,0
PRINTALICIOUS,4
PRINTED SOLUTIONS,0
PRINTER SMART,0
PRINTERBELLO,4
PRINTERBELLOW,0
PRINTHOUSE,4
PRINTROOM,4
PRINTWELL,4
PRINTWORKS,4
PRINTWORKS COVENTRY,0
PRIOR PACKAGING,3
PRIORS PACKAGING,2
PRIORY PRESS,0
PRISM,4
PRIYA ANDREAS,0
PROBADGE,6
PROGRESS,0
PROGRESS PACKAGING,0
PROJECT,0
PROJECTS GROUP,0
PROMO IDEAS,0
PRONTAPRINT,4
PRONTAPRINT LEAMINGTON SPA,0
PRONTAPRINT LEICESTER,4
PRONTAPRINT STRATFORD,0
PRONTAPRINT SUA,4
PRONTAPRINT WIMPOLE,0
PRONTAPRINT WIMPOLE ST,0
PRONTAPRINT WIMPOLE STREET,0
PROPAGANDA,0
PUPLE PRINT,0
PURELY NUTRICIAN,0
PURELY NUTRITION,2
PUREPRINT,0
PURPLE PRINT,0
PURPLEPRINT MANAGEMENT,0
PYRAMID,0
QA FLOORING,0
QEA,0
QUALVIS,0
QUANTAS,0
QUDDOS PRINTING,0
QUITING QUARRY,0
R PRINT,0
RACELOGIC,4
RACHEL LOCKE 6 X STAINED GLASS,0
RACLOGIC,0
RAILEX,0
RAINBOW PRINT MEDIA,0
RAJ - RAY MARKETING,0
RAMTHORNE CONCRETE,0
RAPIDITY,4
RAY - CLIFFORD PRESS COVENTRY,0
RAY MARKETING,2
RAYMONT-OSMAN,2
RCN,4
RECOL,4
RECORD DECK LAYERS,0
RED PENGUIN,0
REENA PATEL,7
REFELX,0
REFLEX,6
REFLEX GRAPHICS,0
REGIN,0
RESOLUTION,0
RESOLUTION DESIGN,0
RESOURCE,0
RHL PRINT,0
RICHARD - HUNTS,0
RICHARD COLOURPOINT,0
RIGHT SIGNS,4
RING,4
ROBERT WELCH,4
ROBINSON,4
ROBINSON PACKAGING,4
ROBINSONS,4
ROBINSONS PACKAGING,0
ROBYN SKINCARE,0
ROMBUS,0
ROMBUS PACKAGING,0
RORY MEDIA ACE,0
ROSEHILL PRESS,0
ROTARY CREATIVE,0
ROTOLOK,0
RUBICON PLC,0
RUDDOCKS,0
RUN PRINT RUN,0
RUSKIN APOTHECARY,0
S&N GENEALOGY SUPPLIES,0
SAHARAN GROUP,0
SALIENT KNIVES,0
SALISBURY PRINTING,0
SALVO,4
SAM SALE,0
SAM SYS,0
SCAFFTAG BRADY,0
SCAN TECH,0
SCOTIA,0
SCOTT WHITTEL,0
SCREENTEC,0
SCREENTECH,0
SDC PRINT,0
SEACOURT,4
SEACOURT PRESS,5
SELADORE LEGAL,0
SELECTION,0
SERVICE GRAPHICS,0
SERVICEPOINT,0
SEVERNPRINT,0
SHAUN-CHEQUERS,0
SHERWOOD GROUP,0
SHORT RUN PRESS,0
SHOWCASE CREATIVE,0
SIGNAL UK LTD,0
SIGNS,7
SILK SCREENERS,0
SIMCHA,0
SIMPLY FOLDERS,0
SLIK SCREENERS,4
SMART IMPRESSIONS,0
SMART PACK,0
SMITH BRANDS,0
SNB,0
SONOCCO TRIDENT,0
SONOCO,0
SONOCO TRIDENT,0
SPEARSONS,0
SPIEGL,0
SPIEGL PRESS,0
SPOT ON,0
SQUIRREL BOOTCAMP,0
SR PRINT MANAGEMENT,2
SRPM,0
SS MEDIA,0
STAEGER CLEAR,4
STAGER,0
STAGESTRUCK,0
STANBURY CHAMELEON,4
STEVE COLOURPOINT,2
STOKE PACKAGING,0
STONES,0
STONES MEDIA,6
STOTHERS,0
STREAMELINE PRESS,0
STRIPEY RHINO,0
STROUD PRINT,4
STUART GASKELL,0
STUART GASKILL,4
STUART GASKILL 18 X DIEBOND,0
STUART GASKILL 6 X ASDA GATE,0
STUART GASKILL ALDI DECALS X,0
STUART GASKILL GREGGS,0
STUART GASKILL JLR,0
SUASTAINAPRINT,0
SUE GREEN GRAPHIC ARTS,0
SUPERIOR TEAMWORKS,0
SUPERQUICK,0
SUPPLIES4CARE,0
SURE,0
SUREFOOT,4
SURPRISE SHIRTS,0
SUSTAINABLE PRINT,0
SUSTAINAPRINT,4
SUTAINAPRINT,0
SYNERGY,6
T2 PRINT & DISPLAY,0
TABITHA RINGWOOD,0
TABLEAU,0
TALK DESIGN & PRINT,0
TAPPENDEN,0
TAYLOR BLOXHAM,0
TBSG,0
TEA LAB,0
TEAM ITG,0
TECHNIQUE,0
TECHNIQUE PRINT,0
TECHNIQUE STUDIOS,0
TECHNOPRINT,0
TEDISON AUTO ELECTRICAL,0
TEN HAT LTD,0
TERRY SIMMONDS,0
TEWKESBURY PRINTING,6
THAMES LOOSE LEAF,0
THANET EARTH,0
THANET PLASTICS,0
THE BREAD COMPANY,0
THE BUSINESS SUPPLIES GROUP,0
THE COLOR CO,0
THE COLOUR CO,0
THE COLOUR COMPANY,0
THE EDEN PROJECT,0
THE FULL WORKS,0
THE LANDMARK TRUST,2
THE MORE AGENCY,3
THE MPC COMPANY,0
THE PACKAGING EXPERST,0
THE PACKAGING EXPERT,4
THE PACKAGING EXPERTS,0
THE PCKAGING EXPERTS,0
THE PRINT CENTRE,0
THE STATIONERY GROUP,0
THE WILKINS GROUP,0
THINK DESIGN,0
THINK PA LTD,0
THOMAS LEACH,0
TIMELESS ACTIVITIES,0
TJ BOOKS,0
TL COLOUR,0
TMORPH,0
TONY - HEDGEROW,0
TONY CKN,0
TONY G,4
TP MEDIA,0
TPE,0
TRADING SPACES LIMITED,0
TRIDENT MARKETING,0
TRIFORM,0
TRINITY,0
TRINITY CONNECTIONS,6
TRIPLE P,0
TRIPLE P MARKETING,0
TRPLE P,0
TWENTY 10 DIGITAL,7
TXM,0
UKCOVERS,0
UNIVERSITY OF WARWICK,0
V RICHARDSON PRINT,0
VACUUM FORMING,0
VALE GROUP,3
VENTURE,0
VICTORIA,0
VICTORIA CARPETS,0
VINY STORAGE,0
VIPER GAS,5
VISUALAR,0
VITAL,0
VOLUNTEER CONNECT,0
WAHHOTI LONDON,0
WAHOOTI,4
WAHOOTI LONDON,0
WALLPLAN,4
WANZL,4
WANZL SHELF EDGE STRIP SETS X,0
WARP,0
WARP RECORDS,4
WARWICK PRINT,0
WARWICK PRINTING,0
WARWICK SIGNS,0
WE'RE FYI,4
WEAREFYI,1
WEBMART,0
WEBRANDIT,0
WEE HUNG TEE,0
WELCOME PRODUCTS,4
WEST & WEST,0
WETHERBY,4
WHITE HALO,4
WHITE HALO DESIGN,0
WILL SAUNDERS,0
WILTON CARPETS,0
WIMPOLE - PRONTAPRINT,0
WIMPOLE STREET PRONTAPRINT,0
WINDLES,4
WINGBINDERS,0
WOLVERSON FITNESS,3
WOODBINE ARTS,3
WORKBENCH,0
WRIGHT,0
WRIGHT ACCURIST,0
WRIGHT BOXERS,0
WRIGHT NEXBO,0
WRIGHT STUDIOS,0
WRIGHT VAMOOSH,0
WRIGHT VENUS GILLETTE MAILER,0
WRIGHT VENUS GILLETTE REFILL,0
WRIGHTS OF CAMPDEN,0
WT & VC,0
XIC,6
XPRESS GROUP,0
ZENITH,0
ZENITH PRINT,2
